sample_index,gps_time,time_since_start_s,time_centered_s,strain_h1,strain_l1,strain_v1,strain_mean_h1_l1,strain_mean_h1_l1_v1,strain_abs_mean_h1_l1,strain_abs_mean_h1_l1_v1,strain_abs_diff_h1_l1,strain_abs_diff_h1_v1,strain_abs_diff_l1_v1,time_from_peak_s
197,1187006834.0480957,0.048095703125,-2047.951904296875,-2.650269432265123e-18,-8.2667840472604755e-19,3.6172526649493147e-19,-1.7384739184955854e-18,-1.0384075234987464e-18,1.7384739184955854e-18,1.0384075234987464e-18,1.823591027539076e-18,3.0119946987600546e-18,1.1884036712209791e-18,-296.975341796875
198,1187006834.0483398,0.04833984375,-2047.95166015625,-2.647374776842749e-18,-8.20183464314649e-19,3.4742828705851534e-19,-1.733779120578699e-18,-1.0400433180329608e-18,1.733779120578699e-18,1.0400433180329608e-18,1.8271913125281e-18,2.9948030639012644e-18,1.1676117513731645e-18,-296.97509765625
199,1187006834.048584,0.048583984375,-2047.951416015625,-2.657167258831803e-18,-8.171226755147162e-19,3.904702187310341e-19,-1.7371449671732596e-18,-1.0279399052051616e-18,1.7371449671732596e-18,1.0279399052051616e-18,1.8400445833170872e-18,3.047637477562837e-18,1.2075928942457502e-18,-296.974853515625
200,1187006834.048828,0.048828125,-2047.951171875,-2.6495886525373247e-18,-8.213077614218964e-19,3.7447426478732884e-19,-1.7354482069796103e-18,-1.0321407163906308e-18,1.7354482069796103e-18,1.0321407163906308e-18,1.828280891115428e-18,3.024062917324653e-18,1.1957820262092252e-18,-296.974609375
201,1187006834.0490725,0.049072265625,-2047.950927734375,-2.6258838893679397e-18,-8.169938297072095e-19,4.319168690378121e-19,-1.721438859537575e-18,-1.0036536166791125e-18,1.721438859537575e-18,1.0036536166791125e-18,1.8088900596607305e-18,3.057800758405752e-18,1.2489106987450216e-18,-296.974365234375
202,1187006834.0493164,0.04931640625,-2047.95068359375,-2.6181182989367666e-18,-8.206918343738225e-19,4.161086515977239e-19,-1.7194050666552948e-18,-1.0075671605709552e-18,1.7194050666552948e-18,1.0075671605709552e-18,1.797426464562944e-18,3.0342269505344907e-18,1.2368004859715465e-18,-296.97412109375
203,1187006834.0495603,0.049560546875,-2047.950439453125,-2.629840527918463e-18,-8.249184875970464e-19,4.626685926550253e-19,-1.7273795077577548e-18,-9.973634742868281e-19,1.7273795077577548e-18,9.973634742868281e-19,1.8049220403214172e-18,3.0925091205734883e-18,1.2875870802520717e-18,-296.973876953125
204,1187006834.0498047,0.0498046875,-2047.9501953125,-2.6221421823843135e-18,-8.148215557328671e-19,4.727530518204204e-19,-1.7184818690585904e-18,-9.880702287655868e-19,1.7184818690585904e-18,9.880702287655868e-19,1.807320626651446e-18,3.094895234204734e-18,1.2875746075532876e-18,-296.9736328125
205,1187006834.0500488,0.050048828125,-2047.949951171875,-2.5950885020298192e-18,-8.13807481026763e-19,5.216972063640699e-19,-1.704447991528291e-18,-9.623995922308374e-19,1.704447991528291e-18,9.623995922308374e-19,1.7812810210030564e-18,3.116785708393889e-18,1.3355046873908332e-18,-296.973388671875
206,1187006834.050293,0.05029296875,-2047.94970703125,-2.5891679513057717e-18,-8.123720474264127e-19,5.283837352937027e-19,-1.7007699993660921e-18,-9.577187544794937e-19,1.7007699993660921e-18,9.577187544794937e-19,1.7767959038793588e-18,3.1175516865994743e-18,1.3407557827201152e-18,-296.97314453125
207,1187006834.050537,0.050537109375,-2047.949462890625,-2.6009277622013352e-18,-8.025962904145945e-19,5.290291923277617e-19,-1.701762026307965e-18,-9.581649534293892e-19,1.701762026307965e-18,9.581649534293892e-19,1.798331471786741e-18,3.1299569545290973e-18,1.3316254827423561e-18,-296.972900390625
208,1187006834.0507812,0.05078125,-2047.94921875,-2.596660802340247e-18,-8.077747399736217e-19,5.691672451033329e-19,-1.7022177711569345e-18,-9.45089432403512e-19,1.7022177711569345e-18,9.45089432403512e-19,1.7888860623666256e-18,3.1658280474435797e-18,1.3769419850769544e-18,-296.97265625
209,1187006834.0510254,0.051025390625,-2047.948974609375,-2.571079248502332e-18,-8.068795784810271e-19,5.767550399095914e-19,-1.6889794134916797e-18,-9.33734595691256e-19,1.6889794134916797e-18,9.33734595691256e-19,1.7641996700213047e-18,3.1478342884119237e-18,1.3836346183906186e-18,-296.972412109375
210,1187006834.0512695,0.05126953125,-2047.94873046875,-2.557603034236145e-18,-8.049409204062583e-19,6.057010243906391e-19,-1.681271977321202e-18,-9.189476434172548e-19,1.681271977321202e-18,9.189476434172548e-19,1.7526621138298872e-18,3.1633040586267842e-18,1.4106419447968976e-18,-296.97216796875
211,1187006834.0515137,0.051513671875,-2047.948486328125,-2.56971612455412e-18,-8.143896190931204e-19,5.998946380789154e-19,-1.6920528718236201e-18,-9.280703685227751e-19,1.6920528718236201e-18,9.280703685227751e-19,1.7553265054609994e-18,3.1696107626330352e-18,1.4142842571720358e-18,-296.971923828125
212,1187006834.0517578,0.0517578125,-2047.9482421875,-2.570444672337938e-18,-8.0194188463798545e-19,6.587029837397706e-19,-1.6861932784879618e-18,-9.045611910787177e-19,1.6861932784879618e-18,9.045611910787177e-19,1.7685027876999524e-18,3.2291476560777085e-18,1.4606448683777561e-18,-296.9716796875
213,1187006834.052002,0.052001953125,-2047.947998046875,-2.5448236888386527e-18,-7.984598466399226e-19,6.35541811063297e-19,-1.6716417677392874e-18,-9.025805748050925e-19,1.6716417677392874e-18,9.025805748050925e-19,1.7463638421987298e-18,3.1803654999019493e-18,1.4340016577032197e-18,-296.971435546875
214,1187006834.052246,0.05224609375,-2047.94775390625,-2.529861504786696e-18,-8.033471447528722e-19,6.70139463363337e-19,-1.6666043247697844e-18,-8.876897287254104e-19,1.6666043247697844e-18,8.876897287254104e-19,1.726514360033824e-18,3.200000968150033e-18,1.4734866081162093e-18,-296.97119140625
215,1187006834.0524902,0.052490234375,-2047.947509765625,-2.5406171697078202e-18,-7.88010463487441e-19,6.643974700694006e-19,-1.6643138165976309e-18,-8.880767210419536e-19,1.6643138165976309e-18,8.880767210419536e-19,1.752606706220379e-18,3.2050146397772212e-18,1.4524079335568417e-18,-296.970947265625
216,1187006834.0527344,0.052734375,-2047.947265625,-2.5415295603366e-18,-7.941106397282257e-19,7.214236744455197e-19,-1.6678201000324128e-18,-8.714055085397687e-19,1.6678201000324128e-18,8.714055085397687e-19,1.7474189206083744e-18,3.26295323478212e-18,1.5155343141737453e-18,-296.970703125
217,1187006834.0529785,0.052978515625,-2047.947021484375,-2.516840785348056e-18,-7.976271558007153e-19,7.170975306117e-19,-1.6572339705743857e-18,-8.657901368456905e-19,1.6572339705743857e-18,8.657901368456905e-19,1.7192136295473409e-18,3.233938315959756e-18,1.5147246864124153e-18,-296.970458984375
218,1187006834.053223,0.05322265625,-2047.94677734375,-2.498130123072877e-18,-7.900052515030472e-19,7.367789916607271e-19,-1.6440676872879621e-18,-8.504521276383988e-19,1.6440676872879621e-18,8.504521276383988e-19,1.7081248715698298e-18,3.2349091147336043e-18,1.5267842431637746e-18,-296.97021484375
219,1187006834.0534668,0.053466796875,-2047.946533203125,-2.5067097987002176e-18,-8.025794991561145e-19,7.707511732434427e-19,-1.6546446489281662e-18,-8.461793748709631e-19,1.6546446489281662e-18,8.461793748709631e-19,1.7041302995441032e-18,3.2774609719436606e-18,1.573330672399557e-18,-296.969970703125
220,1187006834.053711,0.0537109375,-2047.9462890625,-2.514081418659112e-18,-7.951911088358238e-19,7.791047333237003e-19,-1.654636263747468e-18,-8.433892647237451e-19,1.654636263747468e-18,8.433892647237451e-19,1.7188903098232882e-18,3.2931861519828124e-18,1.5742958421595237e-18,-296.9697265625
221,1187006834.053955,0.053955078125,-2047.946044921875,-2.4918444245473653e-18,-7.854855051044221e-19,7.915642788127604e-19,-1.6386649648258938e-18,-8.285885502796757e-19,1.6386649648258938e-18,8.285885502796757e-19,1.7063589194429436e-18,3.2834087033601256e-18,1.5770497839171824e-18,-296.969482421875
222,1187006834.0541992,0.05419921875,-2047.94580078125,-2.4677563262871847e-18,-7.925625091607013e-19,7.928525083454604e-19,-1.6301594177239428e-18,-8.224887757008084e-19,1.6301594177239428e-18,8.224887757008084e-19,1.6751938171264832e-18,3.260608834632645e-18,1.5854150175061617e-18,-296.96923828125
223,1187006834.0544434,0.054443359375,-2047.945556640625,-2.477225092965525e-18,-7.795213830602639e-19,8.521057162514895e-19,-1.6283732380128944e-18,-8.015469199247666e-19,1.6283732380128944e-18,8.015469199247666e-19,1.6977037099052614e-18,3.3293308092170145e-18,1.6316270993117533e-18,-296.968994140625
224,1187006834.0546875,0.0546875,-2047.9453125,-2.485930695557619e-18,-7.78415844765732e-19,8.25708870544181e-19,-1.6321732701616757e-18,-8.128792232597234e-19,1.6321732701616757e-18,8.128792232597234e-19,1.707514850791887e-18,3.3116395661018e-18,1.604124715309913e-18,-296.96875
225,1187006834.0549316,0.054931640625,-2047.945068359375,-2.4631020026640085e-18,-7.87590352762008e-19,8.718717080961417e-19,-1.6253461777130084e-18,-7.929402157766248e-19,1.6253461777130084e-18,7.929402157766248e-19,1.6755116499020005e-18,3.3349737107601497e-18,1.65946206085815e-18,-296.968505859375
226,1187006834.0551758,0.05517578125,-2047.94482421875,-2.442935537548749e-18,-7.799205052303751e-19,8.45798987927472e-19,-1.611428021389562e-18,-7.923523516172174e-19,1.611428021389562e-18,7.923523516172174e-19,1.6630150323183742e-18,3.288734525476221e-18,1.6257194931578474e-18,-296.96826171875
227,1187006834.05542,0.055419921875,-2047.944580078125,-2.444579091018285e-18,-7.87836849121705e-19,8.921329370904753e-19,-1.616207970069995e-18,-7.800943343498382e-19,1.616207970069995e-18,7.800943343498382e-19,1.6567422418965798e-18,3.3367120281087608e-18,1.6799697862121805e-18,-296.968017578125
228,1187006834.055664,0.0556640625,-2047.9443359375,-2.455042221245943e-18,-7.887593327613578e-19,8.814684100780617e-19,-1.6219007770036504e-18,-7.874443813097466e-19,1.6219007770036504e-18,7.874443813097466e-19,1.6662828884845853e-18,3.336510631324005e-18,1.6702277428394197e-18,-296.9677734375
229,1187006834.0559082,0.055908203125,-2047.944091796875,-2.4403294288687133e-18,-7.7587252270602725e-19,9.14282647334508e-19,-1.6081009757873705e-18,-7.673064347467443e-19,1.6081009757873705e-18,7.673064347467443e-19,1.664456906162686e-18,3.3546120762032213e-18,1.6901551700405353e-18,-296.967529296875
230,1187006834.0561523,0.05615234375,-2047.94384765625,-2.409416432239768e-18,-7.832043447714452e-19,9.264213578143248e-19,-1.596310388505607e-18,-7.55399806398963e-19,1.596310388505607e-18,7.55399806398963e-19,1.6262120874683228e-18,3.3358377900540932e-18,1.70962570258577e-18,-296.96728515625
231,1187006834.0563965,0.056396484375,-2047.943603515625,-2.415368487375485e-18,-7.769810794281714e-19,9.440969716380786e-19,-1.5961747834018285e-18,-7.494175317218594e-19,1.5961747834018285e-18,7.494175317218594e-19,1.638387407947314e-18,3.359465459013564e-18,1.72107805106625e-18,-296.967041015625
232,1187006834.0566406,0.056640625,-2047.943359375,-2.4280235805432498e-18,-7.675012505477159e-19,9.816769054833949e-19,-1.597762415545483e-18,-7.379493085358569e-19,1.597762415545483e-18,7.379493085358569e-19,1.660522329995534e-18,3.409700486026645e-18,1.749178156031111e-18,-296.966796875
233,1187006834.0568848,0.056884765625,-2047.943115234375,-2.4093830009000235e-18,-7.786422774505573e-19,9.6026937709582e-19,-1.5940126391752906e-18,-7.425853004182536e-19,1.5940126391752906e-18,7.425853004182536e-19,1.6307407234494665e-18,3.3696523779958443e-18,1.7389116545463772e-18,-296.966552734375
234,1187006834.057129,0.05712890625,-2047.94287109375,-2.386123732331888e-18,-7.736920437134719e-19,1.0078937694029517e-18,-1.57990788802268e-18,-7.173073355474693e-19,1.57990788802268e-18,7.173073355474693e-19,1.6124316886184162e-18,3.39401750173484e-18,1.781585813116424e-18,-296.96630859375
235,1187006834.057373,0.057373046875,-2047.942626953125,-2.3839853148555272e-18,-7.758403342903269e-19,9.97023682144104e-19,-1.5799128245729274e-18,-7.209339890005836e-19,1.5799128245729274e-18,7.209339890005836e-19,1.6081449805652005e-18,3.3810089969996317e-18,1.7728640164344308e-18,-296.966064453125
236,1187006834.0576172,0.0576171875,-2047.9423828125,-2.399224825079143e-18,-7.833612645895267e-19,1.0324577890427612e-18,-1.591293044834335e-18,-7.167094335419696e-19,1.591293044834335e-18,7.167094335419696e-19,1.615863560489616e-18,3.431682614121904e-18,1.8158190536322883e-18,-296.9658203125
237,1187006834.057861,0.057861328125,-2047.942138671875,-2.389959011695776e-18,-7.691255694238405e-19,1.0128255867328485e-18,-1.5795422905598082e-18,-7.1541966479558935e-19,1.5795422905598082e-18,7.1541966479558935e-19,1.6208334422719352e-18,3.402784598428624e-18,1.781951156156689e-18,-296.965576171875
238,1187006834.0581057,0.05810546875,-2047.94189453125,-2.357778959668528e-18,-7.733554075641322e-19,1.0615713863202872e-18,-1.5655671836163298e-18,-6.89854326970791e-19,1.5655671836163298e-18,6.89854326970791e-19,1.584423552104396e-18,3.4193503459888154e-18,1.8349267938844198e-18,-296.96533203125
239,1187006834.0583496,0.058349609375,-2047.941650390625,-2.3550791400923253e-18,-7.744800137937235e-19,1.0375451005025212e-18,-1.5647795769430246e-18,-6.973380177945091e-19,1.5647795769430246e-18,6.973380177945091e-19,1.5805991262986021e-18,3.392624240594847e-18,1.8120251142962452e-18,-296.965087890625
240,1187006834.0585938,0.05859375,-2047.94140625,-2.3736320946751427e-18,-7.612737728870366e-19,1.0545655061143848e-18,-1.5674529337810897e-18,-6.934467871492646e-19,1.5674529337810897e-18,6.934467871492646e-19,1.6123583217881057e-18,3.4281976007895277e-18,1.8158392790014216e-18,-296.96484375
241,1187006834.058838,0.058837890625,-2047.941162109375,-2.362607863460656e-18,-7.705008615823792e-19,1.0664269233008773e-18,-1.5665543625215173e-18,-6.888939339140525e-19,1.5665543625215173e-18,6.888939339140525e-19,1.5921070018782769e-18,3.4290347867615333e-18,1.8369277848832564e-18,-296.964599609375
242,1187006834.059082,0.05908203125,-2047.94091796875,-2.3319353421641927e-18,-7.726161650375245e-19,1.0911722528689924e-18,-1.5522757536008586e-18,-6.711264181109081e-19,1.5522757536008586e-18,6.711264181109081e-19,1.559319177126668e-18,3.423107595033185e-18,1.8637884179065173e-18,-296.96435546875
243,1187006834.0593262,0.059326171875,-2047.940673828125,-2.3289176276524574e-18,-7.705200240190884e-19,1.0975386002581873e-18,-1.5497188258357728e-18,-6.672996838044529e-19,1.5497188258357728e-18,6.672996838044529e-19,1.5583976036333693e-18,3.426456227910645e-18,1.868058624277276e-18,-296.964111328125
244,1187006834.0595703,0.0595703125,-2047.9404296875,-2.3429327969551052e-18,-7.7921953237874855e-19,1.1027727826379898e-18,-1.5610761646669265e-18,-6.731265155652879e-19,1.5610761646669265e-18,6.731265155652879e-19,1.5637132645763566e-18,3.4457055795930945e-18,1.8819923150167387e-18,-296.9638671875
245,1187006834.0598145,0.059814453125,-2047.940185546875,-2.3377050255327938e-18,-7.715654802624603e-19,1.1456839169946104e-18,-1.554635252897627e-18,-6.545288629335479e-19,1.554635252897627e-18,6.545288629335479e-19,1.5661395452703337e-18,3.483388942527404e-18,1.917249397257071e-18,-296.963623046875
246,1187006834.0600586,0.06005859375,-2047.93994140625,-2.3127067391162546e-18,-7.669580148902976e-19,1.1241047454033181e-18,-1.5398323770032761e-18,-6.518533362010781e-19,1.5398323770032761e-18,6.518533362010781e-19,1.5457487242259572e-18,3.4368114845195733e-18,1.891062760293616e-18,-296.96337890625
247,1187006834.0603027,0.060302734375,-2047.939697265625,-2.3009343208228447e-18,-7.708233806785373e-19,1.1492625122565838e-18,-1.5358788507506911e-18,-6.408317297482662e-19,1.5358788507506911e-18,6.408317297482662e-19,1.5301109401443074e-18,3.450196833079429e-18,1.920085892935121e-18,-296.963134765625
248,1187006834.0605469,0.060546875,-2047.939453125,-2.318247393665208e-18,-7.629464035706145e-19,1.1426266468403205e-18,-1.5405968986179113e-18,-6.46189050131834e-19,1.5405968986179113e-18,6.46189050131834e-19,1.5553009900945937e-18,3.460874040505529e-18,1.9055730504109353e-18,-296.962890625
249,1187006834.060791,0.060791015625,-2047.939208984375,-2.318594722777432e-18,-7.6485741923882795e-19,1.1930710518353301e-18,-1.54172607100813e-18,-6.301270300603099e-19,1.54172607100813e-18,6.301270300603099e-19,1.5537373035386041e-18,3.511665774612762e-18,1.9579284710741582e-18,-296.962646484375
250,1187006834.0610352,0.06103515625,-2047.93896484375,-2.2885448374100453e-18,-7.712597822003484e-19,1.1568580932767029e-18,-1.5299023098051968e-18,-6.343155087778968e-19,1.5299023098051968e-18,6.343155087778968e-19,1.5172850552096971e-18,3.4454029306867488e-18,1.9281178754770518e-18,-296.96240234375
251,1187006834.0612793,0.061279296875,-2047.938720703125,-2.2776238785935324e-18,-7.696442003506436e-19,1.1991565063710833e-18,-1.5236340394720882e-18,-6.160371908576975e-19,1.5236340394720882e-18,6.160371908576975e-19,1.5079796782428889e-18,3.476780384964616e-18,1.968800706721727e-18,-296.962158203125
252,1187006834.0615234,0.0615234375,-2047.9384765625,-2.2916338337288497e-18,-7.75891416757417e-19,1.1769237656002421e-18,-1.5337626252431337e-18,-6.302004949620085e-19,1.5337626252431337e-18,6.302004949620085e-19,1.515742416971433e-18,3.468557599329092e-18,1.952815182357659e-18,-296.9619140625
253,1187006834.0617676,0.061767578125,-2047.938232421875,-2.293080687009881e-18,-7.753932849020763e-19,1.199065825336332e-18,-1.534236985955979e-18,-6.231360488585419e-19,1.534236985955979e-18,6.231360488585419e-19,1.5176874021078049e-18,3.492146512346213e-18,1.9744591102384082e-18,-296.961669921875
254,1187006834.0620117,0.06201171875,-2047.93798828125,-2.269336363739222e-18,-7.70034134981976e-19,1.2100875351474961e-18,-1.5196852493605993e-18,-6.097609878579006e-19,1.5196852493605993e-18,6.097609878579006e-19,1.499302228757246e-18,3.479423898886718e-18,1.980121670129472e-18,-296.96142578125
255,1187006834.062256,0.062255859375,-2047.937744140625,-2.251407165801188e-18,-7.738590439576617e-19,1.203722247589006e-18,-1.5126331048794248e-18,-6.071813207232813e-19,1.5126331048794248e-18,6.071813207232813e-19,1.4775481218435262e-18,3.4551294133901944e-18,1.977581291546668e-18,-296.961181640625
256,1187006834.0625,0.0625,-2047.9375,-2.266069034247836e-18,-7.677987239689392e-19,1.2302795515286689e-18,-1.5169338791083876e-18,-6.011960688960354e-19,1.5169338791083876e-18,6.011960688960354e-19,1.4982703102788971e-18,3.496348585776505e-18,1.998078275497608e-18,-296.9609375
257,1187006834.062744,0.062744140625,-2047.937255859375,-2.2771092943026616e-18,-7.65550033931779e-19,1.2350101482783965e-18,-1.5213296641172204e-18,-6.025497266520148e-19,1.5213296641172204e-18,6.025497266520148e-19,1.5115592603708825e-18,3.5121194425810585e-18,2.0005601822101758e-18,-296.960693359375
258,1187006834.0629883,0.06298828125,-2047.93701171875,-2.2497068745536784e-18,-7.746579964754405e-19,1.2790188326589324e-18,-1.5121824355145597e-18,-5.817820127900623e-19,1.5121824355145597e-18,5.817820127900623e-19,1.475048878078238e-18,3.528725707212611e-18,2.0536768291343732e-18,-296.96044921875
259,1187006834.0632324,0.063232421875,-2047.936767578125,-2.2294481706876632e-18,-7.7459836044654275e-19,1.2461790748379817e-18,-1.502023265567103e-18,-5.859558187654081e-19,1.502023265567103e-18,5.859558187654081e-19,1.4548498102411205e-18,3.475627245525645e-18,2.0207774352845244e-18,-296.960205078125
260,1187006834.0634766,0.0634765625,-2047.9365234375,-2.2451468884410132e-18,-7.776780523773379e-19,1.2969416461784909e-18,-1.5114124704091753e-18,-5.752944315466199e-19,1.5114124704091753e-18,5.752944315466199e-19,1.467468836063675e-18,3.5420885346195045e-18,2.074619698555829e-18,-296.9599609375
261,1187006834.0637207,0.063720703125,-2047.936279296875,-2.252756037430334e-18,-7.808574617163979e-19,1.2764621029086744e-18,-1.5168067495733661e-18,-5.857171320793526e-19,1.5168067495733661e-18,5.857171320793526e-19,1.4718985757139362e-18,3.5292181403390085e-18,2.0573195646250726e-18,-296.959716796875
262,1187006834.0639648,0.06396484375,-2047.93603515625,-2.233316521343199e-18,-7.763208219398328e-19,1.3061856237451406e-18,-1.5048186716415156e-18,-5.678172398459636e-19,1.5048186716415156e-18,5.678172398459636e-19,1.4569956994033661e-18,3.539502145088339e-18,2.082506445684973e-18,-296.95947265625
263,1187006834.064209,0.064208984375,-2047.935791015625,-2.212832269965029e-18,-7.775891596587609e-19,1.2895735716438433e-18,-1.4952107148118951e-18,-5.669492859933156e-19,1.4952107148118951e-18,5.669492859933156e-19,1.4352431103062685e-18,3.502405841608872e-18,2.0671627313026042e-18,-296.959228515625
264,1187006834.0644531,0.064453125,-2047.935546875,-2.219320301969053e-18,-7.755895580388875e-19,1.3286431798520629e-18,-1.4974549300039705e-18,-5.55422226718626e-19,1.4974549300039705e-18,5.55422226718626e-19,1.4437307439301657e-18,3.5479634818211165e-18,2.1042327378909498e-18,-296.958984375
265,1187006834.0646973,0.064697265625,-2047.935302734375,-2.236732849267952e-18,-7.730630621166559e-19,1.3137628329030904e-18,-1.5048979556923041e-18,-5.653443594938392e-19,1.5048979556923041e-18,5.653443594938392e-19,1.4636697871512966e-18,3.550495682171043e-18,2.086825895019746e-18,-296.958740234375
266,1187006834.0649414,0.06494140625,-2047.93505859375,-2.216192716129931e-18,-7.809429211441841e-19,1.3066401763110426e-18,-1.4985678186370577e-18,-5.634984869876908e-19,1.4985678186370577e-18,5.634984869876908e-19,1.435249794985747e-18,3.5228328924409745e-18,2.0875830974552266e-18,-296.95849609375
267,1187006834.0651855,0.065185546875,-2047.934814453125,-2.1886887400566666e-18,-7.844965153153234e-19,1.3348293415041965e-18,-1.4865926276859951e-18,-5.461186379559311e-19,1.4865926276859951e-18,5.461186379559311e-19,1.4041922247413432e-18,3.523518081560863e-18,2.11932585681952e-18,-296.958251953125
268,1187006834.0654297,0.0654296875,-2047.9345703125,-2.2013095033672104e-18,-7.868832598771333e-19,1.3322089866430645e-18,-1.494096381622172e-18,-5.519945922004264e-19,1.494096381622172e-18,5.519945922004264e-19,1.4144262434900772e-18,3.533518490010275e-18,2.1190922465201975e-18,-296.9580078125
269,1187006834.0656738,0.065673828125,-2047.934326171875,-2.21505217156912e-18,-7.921457678059271e-19,1.3530940413253708e-18,-1.5035989696875233e-18,-5.513679660165586e-19,1.5035989696875233e-18,5.513679660165586e-19,1.4229064037631926e-18,3.5681462128944895e-18,2.145239809131298e-18,-296.957763671875
270,1187006834.065918,0.06591796875,-2047.93408203125,-2.1995475755949093e-18,-7.8947936378193385e-19,1.3418781789621485e-18,-1.4945134696884214e-18,-5.490495868048981e-19,1.4945134696884214e-18,5.490495868048981e-19,1.4100682118129758e-18,3.541425754557058e-18,2.1313575427440827e-18,-296.95751953125
271,1187006834.066162,0.066162109375,-2047.933837890625,-2.17554185725854e-18,-7.881161523519566e-19,1.3967819464241213e-18,-1.4818290048052485e-18,-5.222920210621253e-19,1.4818290048052485e-18,5.222920210621253e-19,1.3874257049065834e-18,3.572323803682661e-18,2.1848980987760777e-18,-296.957275390625
272,1187006834.0664062,0.06640625,-2047.93359375,-2.1797710000608745e-18,-7.878391766527386e-19,1.3667013597480561e-18,-1.4838050883568066e-18,-5.336362723218522e-19,1.4838050883568066e-18,5.336362723218522e-19,1.391931823408136e-18,3.5464723598089315e-18,2.1545405364007946e-18,-296.95703125
273,1187006834.0666504,0.066650390625,-2047.933349609375,-2.2013300271077786e-18,-7.859397683248756e-19,1.3930978068206765e-18,-1.4936348977163271e-18,-5.313906628706591e-19,1.4936348977163271e-18,5.313906628706591e-19,1.4153902587829026e-18,3.5944278339284546e-18,2.1790375751455524e-18,-296.956787109375
274,1187006834.0668943,0.06689453125,-2047.93310546875,-2.1861575726564628e-18,-7.909624365411664e-19,1.3650513639317012e-18,-1.4885600045988149e-18,-5.373562150886428e-19,1.4885600045988149e-18,5.373562150886428e-19,1.3951951361152965e-18,3.5512089365881644e-18,2.156013800472868e-18,-296.95654296875
275,1187006834.067139,0.067138671875,-2047.932861328125,-2.156256129919944e-18,-7.972708640805275e-19,1.4143261537481005e-18,-1.4767634970002357e-18,-5.130669467507904e-19,1.4767634970002357e-18,5.130669467507904e-19,1.3589852658394165e-18,3.570582283668044e-18,2.211597017828628e-18,-296.956298828125
276,1187006834.0673828,0.0673828125,-2047.9326171875,-2.163555749183051e-18,-8.021118563023826e-19,1.4022116734606177e-18,-1.4828338027427169e-18,-5.211519773416053e-19,1.4828338027427169e-18,5.211519773416053e-19,1.3614438928806686e-18,3.565767422643669e-18,2.2043235297630005e-18,-296.9560546875
277,1187006834.067627,0.067626953125,-2047.932373046875,-2.182761562226504e-18,-8.053032214435296e-19,1.3995266601760273e-18,-1.494032391835017e-18,-5.295127078313354e-19,1.494032391835017e-18,5.295127078313354e-19,1.377458340782974e-18,3.5822882224025315e-18,2.204829881619557e-18,-296.955810546875
278,1187006834.067871,0.06787109375,-2047.93212890625,-2.17159708563908e-18,-8.059023363628309e-19,1.4035537279004545e-18,-1.4887497110009557e-18,-5.246485647004857e-19,1.4887497110009557e-18,5.246485647004857e-19,1.365694749276249e-18,3.575150813539535e-18,2.209456064263285e-18,-296.95556640625
279,1187006834.0681152,0.068115234375,-2047.931884765625,-2.1451675045086752e-18,-8.068542516227267e-19,1.4099869933864818e-18,-1.4760108780657008e-18,-5.140115875816399e-19,1.4760108780657008e-18,5.140115875816399e-19,1.338313252885949e-18,3.555154497895157e-18,2.2168412450092082e-18,-296.955322265625
280,1187006834.0683594,0.068359375,-2047.931640625,-2.1443210487900112e-18,-8.04679523798886e-19,1.4170251048997233e-18,-1.474500286294449e-18,-5.106584892297248e-19,1.474500286294449e-18,5.106584892297248e-19,1.3396415249911254e-18,3.5613461536897345e-18,2.221704628698609e-18,-296.955078125
281,1187006834.0686035,0.068603515625,-2047.931396484375,-2.1649658709167923e-18,-8.045833464504332e-19,1.3954000527273829e-18,-1.4847746086836128e-18,-5.247163882132808e-19,1.4847746086836128e-18,5.247163882132808e-19,1.3603825244663596e-18,3.560365923644175e-18,2.199983399177816e-18,-296.954833984375
282,1187006834.0688477,0.06884765625,-2047.93115234375,-2.161967779644245e-18,-8.102565655125684e-19,1.455753429526886e-18,-1.4861121725784068e-18,-5.054903052099757e-19,1.4861121725784068e-18,5.054903052099757e-19,1.351711214131677e-18,3.6177212091711315e-18,2.2660099950394545e-18,-296.95458984375
283,1187006834.0690918,0.069091796875,-2047.930908203125,-2.1308925320210137e-18,-8.131572374925342e-19,1.4205577949195468e-18,-1.4720248847567741e-18,-5.078306581980003e-19,1.4720248847567741e-18,5.078306581980003e-19,1.3177352945284797e-18,3.5514503269405615e-18,2.2337150324120812e-18,-296.954345703125
284,1187006834.069336,0.0693359375,-2047.9306640625,-2.1262587248833245e-18,-8.193803936982041e-19,1.4497162046218673e-18,-1.4728195592907645e-18,-4.986409713198871e-19,1.4728195592907645e-18,4.986409713198871e-19,1.3068783311851205e-18,3.575974929505192e-18,2.2690965983200717e-18,-296.9541015625
285,1187006834.06958,0.069580078125,-2047.930419921875,-2.1510369860602308e-18,-8.251382366881619e-19,1.4322588614798005e-18,-1.4880876113741965e-18,-5.146387870895307e-19,1.4880876113741965e-18,5.146387870895307e-19,1.3258987493720689e-18,3.583295847540031e-18,2.2573970981679626e-18,-296.953857421875
286,1187006834.0698242,0.06982421875,-2047.93017578125,-2.1481307604663235e-18,-8.248293327644755e-19,1.4679731214112393e-18,-1.4864800466153997e-18,-5.016623239398532e-19,1.4864800466153997e-18,5.016623239398532e-19,1.323301427701848e-18,3.6161038818775634e-18,2.2928024541757146e-18,-296.95361328125
